Airports with ACARS Soundings. Downloaded from: https://rucsoundings.noaa.gov/airports.html

GSD_ID name wmoid  lat     lon   elev(m) Description
0258 EBBR   6451   50.90    4.53   58 Brussels National Apt, BX
0937 EBCI      0   50.60    4.50  187 Charleroi
1403  EBL      0   41.30    2.10    3 Barcelona
0938 EDDC      0   51.10   13.80  230 Dresden
0528 EDDF  10637   50.05    8.60  113 Frankfurt Main, DL
0940 EDDG      0   52.10    7.70   48 Munster/Osnabruck, DL
0941 EDDH  10147   53.63   10.00   16 Hamburg, DL
0046 EDDK  10513   50.87    7.17   99 Koln/Bonn, DL
0254 EDDL  10400   51.28    6.78   44 Dusseldorf, DL
0252 EDDM  10870   48.35   11.78  448 Munich, DL
0945 EDDN      0   49.50   11.10  318 Nurnberg
0946 EDDP      0   51.30   12.30  141 Leipzig
0947 EDDS      0   48.80    9.20  396 Stuttgart
0948 EDDT      0   52.60   13.30   36 Berlin
0949 EDDV      0   52.50    9.70   53 Hannover
0950 EDDW      0   53.00    8.80    3 Bremen
1482  EDF  40417   26.43   49.80   12 Dammam, SD
0047  EDW  72381   34.91 -117.87  705 Edwards AFB, CA
0232  EFD      0   29.62  -95.17   12 Ellington/Houston, TX
0951 EFHK      0   60.30   25.00   17 Helsinki
0952 EGAA      0   54.70   -6.20    4 Belfast
1356 EGBB   3534   52.45   -1.75   99 Burmingham, UK
0953 EGCC      0   53.40   -2.20   78 Manchester
0558  EGE      0   39.64 -106.92 1992 Eagle Apt., CO
0954 EGJJ      0   49.30   -2.20   84 Jersey
0778 EGKK   3776   51.15   -0.18   62 London/Gatwick, UK
0955 EGLC      0   51.40    0.10    5 London/City
0203 EGLL   3772   51.48   -0.45   24 London/Heathrow, UK
2524  EGN  41140   16.88   42.58    6 Jazan, SD
0956 EGNM      0   53.80   -1.70  207 Leeds
0957 EGNT      0   55.00   -1.70   81 Newcastle
0048 EGNX  90032   52.83   -1.32   94 Derby, East Midlands, UK
0958 EGPD      0   57.20   -2.20   65 Aberdeen
0959 EGPF      0   55.90   -4.40    7 Glasgow
0960 EGPH      0   55.90   -3.30   41 Edinburgh
0049 EGSS   3683   51.88    0.23  106 London-Stansted, UK
0839  EGU      0   -2.10  -79.90    4 Guayaquil
0721 EHAM   6240   52.30    4.77    2 Amsterdam/Schip, NL
2476  EHL  40394   27.43   41.68 1015 Hail, SD
0961 EICK      0   51.80   -8.50  153 Cork
0962 EIDW      0   53.40   -6.20   73 Dublin
0963 EINN      0   52.70   -9.00   14 Shannon
0964 EKCH      0   55.60   12.60    5 Copenhagen/Kastrup
2216  ELM      0   42.16  -76.89  291 Elmira/Corning Regional
0050  ELP  72270   31.80 -106.40 1193 El Paso, TX
0197  EMA  90032   52.83   -1.32   94 Derby, East Midlands, UK
0874  EMD      0   40.50   -3.60  609 Madrid
0965 ENAL      0   62.50    6.10   21 Alesund
0966 ENAT      0   70.00   23.40    2 Alta
0967 ENBO      0   67.30   14.50   12 Bodo
0968 ENBR      0   60.30    5.20   50 Bergen
0969 ENCN      0   58.20    8.10   17 Kristiansand
0970 ENEV      0   68.50   16.70   25 Harstad/Evenes
0971 ENGM      0   60.20   11.10  207 Oslo
0972 ENHD      0   59.30    5.20   22 Haugesund
0973 ENKR      0   69.70   29.90   86 Kirkenes/Hoybuktmoen
2850 ENSB   1008   78.25   15.47    2 SVALBARD LUFTHAVN, NO
0974 ENTC      0   69.70   18.90    9 Tromso/Langnes
0975 ENVA      0   63.40   11.00   17 Trondheim
0976 ENZV      0   58.80    5.60    8 Stavenger
0977 EPGD      0   54.30   18.50  148 Gdansk
0978 EPKK      0   50.10   19.80  241 Krakow
2562 EPKT  12560   50.24   19.03  284 Katowice, Poland
0979 EPWA      0   52.10   20.90  110 Warsaw
0838  EQU  84071   -0.14  -78.49 2813 Quito, Ecuador
2215  ERI      0   42.08  -80.18  223 Erie Intl/Tom Ridge Field
2964  ESC  72648   45.73  -87.08  185 Escanaba, MI/US
0980 ESDB      0   56.30   12.80   20 Angelholm
0981 ESGG      0   57.80   12.30  154 Gotenburg
0982 ESMK      0   55.90   14.10   23 Kristianstad
0983 ESMQ      0   56.70   16.30    5 Kalmar
0984 ESMS      0   55.60   13.40   71 Malmo
0985 ESMX      0   56.90   14.80  185 Vaxjo
0986 ESNN      0   62.50   17.40    4 Sundsvall
0987 ESNO      0   63.40   18.90  107 Ornskoldsvik
0988 ESNU      0   63.90   20.20    7 Umea
0989 ESOK      0   59.50   13.30  107 Karlstad
0990 ESPA      0   65.60   22.10   17 Lulea
0991 ESPC      0   63.20   14.50  376 Ostersund
0992 ESSA      0   59.70   17.90   37 Stockholm/Arlanda
1513 ESSP      0   58.59   16.25   10 Kungsangen, Sweden
0993 ETOR      0   49.50    8.40   95 Mannheim/Coleman
0051  EUG  72693   44.12 -123.22  114 Eugene, OR
1124  EVC      0   39.50   -0.50   68 Valencia
0994 EVRA      0   57.10   24.10   10 Riga
2214  EVV      0   38.04  -87.53  127 Evansville Regional
0052  EWR  72502   40.70  -74.17    9 Newark Intl, NJ
0995 EYVI      0   54.80   25.20  196 Vilnius
3374  EYW  72201   24.56  -81.76    1 Key West, FL/US
0230  EZE  87576  -34.82  -58.53   20 Buenos Aires-Ezeiza, AG
2591 FABL  68442  -29.10   26.30 1354 Bloemfontein, SA
0996 FACT      0  -33.90   18.60   42 Capetown, SA
